probe_row,val_clean_index,sentence,phonemes
27,27,AND I GUESS THAT'S WHAT'S HAPPENING HERE,AH N D AY G EH S DH AE T EH S W AH T EH S HH AE P AH N IH NG HH IY R
28,28,IT BECOMES A FIRE ENGINE,IH T B IH K AH M Z AH F AY ER EH N JH AH N
29,29,BUT IT'S A DECENT SIZE,B AH T IH T EH S AH D IY S AH N T S AY Z
30,30,FOLLOWING THOSE WORDS,F AA L OW IH NG DH OW Z W ER D Z
31,31,FOUR LITTLE TURTLES NAMED AFTER ITALIAN RENAISSANCE ARTISTS,F AO R L IH T AH L T ER T AH L Z N EY M D AE F T ER IH T AE L Y AH N R EH N AH S AA N S AA R T AH S T S
32,32,WHICH IS INCREDIBLE,W IH CH IH Z IH N K R EH D AH B AH L
33,33,I'M JUST HOPEFUL,AY AH M JH AH S T HH OW P F AH L
34,34,THE FIRST AND SECOND FLOOR FLATS,DH AH F ER S T AH N D S EH K AH N D F L AO R F L AE T S
35,35,LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,L AY K HH AH N D R AH D Z AH V TH AW Z AH N D Z AH V P IY P AH L D UW EH V ER IY Y IH R
36,36,I WILL ALWAYS NEED YOU,AY W IH L AO L W EY Z N IY D Y UW
37,37,ENJOY THE SUMMER,EH N JH OY DH AH S AH M ER
38,38,IF YOU'VE GOT A GOOD STORY,IH F Y UW ' V IY G AA T AH G UH D S T AO R IY
39,39,PEOPLE ARE HAPPY TO BE THERE AND IT'S A GOOD VIBE,P IY P AH L AA R HH AE P IY T UW B IY DH EH R AH N D IH T EH S AH G UH D V AY B
40,40,IT'S NOT AS EASY AS IT LOOKS,IH T EH S N AA T AE Z IY Z IY AE Z IH T L UH K S
41,41,HAROLD IN NEIGHBOURS,HH EH R AH L D IH N N EY B ER Z
42,42,WE HAVE RUN OUT OF TIME,W IY HH AE V R AH N AW T AH V T AY M
43,43,NOT TO THINK FOR THEMSELVES,N AA T T UW TH IH NG K F AO R DH EH M S EH L V Z
44,44,IT'S THAT SIMPLE,IH T EH S DH AE T S IH M P AH L
45,45,SOME PEOPLE HERE TONIGHT PREFER SUBTITLES,S AH M P IY P AH L HH IY R T AH N AY T P R AH F ER S AH B T AY T AH L Z
46,46,SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SH IY EH S G AA T DH AH B EH S T T AA P L AY N IH N DH AH B IH Z N AH S
47,47,A FLOATING HOTEL,AH F L OW T IH NG HH OW T EH L
48,48,GO TO THE PRESS,G OW T UW DH AH P R EH S
49,49,THIS IS VERY SIMILAR,DH IH S IH Z V EH R IY S IH M AH L ER
50,50,SHE'S DEPRESSED ABOUT DADDY,SH IY EH S D IH P R EH S T AH B AW T D AE D IY
51,51,PRETTY ON THE OUTSIDE,P R IH T IY AA N DH AH AW T S AY D
52,52,MAYBE MORE OF STEEL AND IRON,M EY B IY M AO R AH V S T IY L AH N D AY ER N
53,53,GET A NEW LOYAL CUSTOMER AND DEBENHAMS,G EH T AH N UW L OY AH L K AH S T AH M ER AH N D D EH B IH N AH M Z
54,54,SO WHAT IS THE ETIQUETTE,S OW W AH T IH Z DH AH EH T AH K AH T
55,55,WHEN IT COMES TO TOYS,W EH N IH T K AH M Z T UW T OY Z
56,56,IT'S NOT A CAREER,IH T EH S N AA T AH K ER IH R
57,57,IF YOU DIDN'T HAVE ONE,IH F Y UW D IH D EH N T AY HH AE V W AH N
58,58,THE DAY JUST GOT WEIRDER AND WEIRDER,DH AH D EY JH AH S T G AA T W IH R D ER AH N D W IH R D ER
59,59,WHY DON'T WE ALL JUST GET ALONG,W AY D UW EH N T AY W IY AO L JH AH S T G EH T AH L AO NG
60,60,A TRIBAL NATION,AH T R AY B AH L N EY SH AH N
61,61,STOCKS AND SHARES,S T AA K S AH N D SH EH R Z
62,62,WE WOULD LOVE TO SELL IT,W IY W UH D L AH V T UW S EH L IH T
63,63,THAT'S WHAT YOU SAID,DH AE T EH S W AH T Y UW S EH D
64,64,FREE RANGE GOOD,F R IY R EY N JH G UH D
65,65,I'M VERY IMPRESSED,AY AH M V EH R IY IH M P R EH S T
66,66,I HADN'T THOUGHT THAT,AY HH AE D EH N T AY TH AO T DH AE T
67,67,WE HEARD THE STORY OF THE NURSE ANNA CROSS,W IY HH ER D DH AH S T AO R IY AH V DH AH N ER S AE N AH K R AO S
68,68,IT'S JUST A NAME,IH T EH S JH AH S T AH N EY M
69,69,IF YOU HAVEN'T CAUGHT IT YET,IH F Y UW HH AE V EH N T AY K AA T IH T Y EH T
70,70,THE AVERAGE COST OF KEEPING A PERSON IN PRISON IS 36,DH AH AE V ER IH JH K AA S T AH V K IY P IH NG AH P ER S AH N IH N P R IH Z AH N IH Z TH ER T IY S IH K S
71,71,SURRENDER WAS NOT AN OPTION,S ER EH N D ER W AA Z N AA T AE N AA P SH AH N
72,72,IT'S A LONG WAY FROM HOME,IH T EH S AH L AO NG W EY F R AH M HH OW M
73,73,I HAVE NOTHING TO HIDE,AY HH AE V N AH TH IH NG T UW HH AY D
74,74,REAL FRIENDS THAT CARE ABOUT ME,R IY L F R EH N D Z DH AE T K EH R AH B AW T M IY
75,75,JOIN US NEXT TIME FOR MANY MORE SURPRISES,JH OY N AH S N EH K S T T AY M F AO R M EH N IY M AO R S ER P R AY Z IH Z
76,76,I SHOULDN'T SAY THOSE THINGS,AY SH UH D EH N T AY S EY DH OW Z TH IH NG Z
77,77,BUT I COME ACROSS TRAINING PRISONS NOW,B AH T AY K AH M AH K R AO S T R EY N IH NG P R IH Z AH N Z N AW
78,78,REGARDING ONE OF BRITAIN'S MOST NOTED,R AH G AA R D IH NG W AH N AH V B R IH T AH N EH S M OW S T N OW T AH D
79,79,HE MOVED AROUND A LOT,HH IY M UW V D ER AW N D AH L AA T
80,80,DON'T FORGET THAT SCARECROW,D UW EH N T AY F ER G EH T DH AE T S K AE R K R OW
81,81,I'M NOT SATISFIED,AY AH M N AA T S AE T AH S F AY D
82,82,YOU BETTER STAY WELL AWAY FROM ME,Y UW B EH T ER S T EY W EH L AH W EY F R AH M M IY
83,83,COMES FROM ONE OF THE MOST BEAUTIFUL PARTS OF THE WORLD,K AH M Z F R AH M W AH N AH V DH AH M OW S T B Y UW T AH F AH L P AA R T S AH V DH AH W ER L D
84,84,THEY WILL NOT DO,DH EY W IH L N AA T D UW
85,85,I JUST DON'T GET IT,AY JH AH S T D UW EH N T AY G EH T IH T
86,86,ALREADY IN THE STATES,AO L R EH D IY IH N DH AH S T EY T S
87,87,AND I THINK THIS IS ONE,AH N D AY TH IH NG K DH IH S IH Z W AH N
88,88,TRAVEL THREE MILES FURTHER WEST AND YOU DO GET MORE FOR YOUR MONEY,T R AE V AH L TH R IY M AY L Z F ER DH ER W EH S T AH N D Y UW D UW G EH T M AO R F AO R Y AO R M AH N IY
89,89,I'D LIKE TO HELP YOU,AY ' D IY L AY K T UW HH EH L P Y UW
90,90,A PLACE WHICH IS HARD TO LIVE,AH P L EY S W IH CH IH Z HH AA R D T UW L AY V
91,91,BEFORE WE BRING ON OUR NEXT CONTENDER,B IH F AO R W IY B R IH NG AA N AW ER N EH K S T K AH N T EH N D ER
92,92,I'M YOUR SIMON COWELL,AY AH M Y AO R S AY M AH N K AA W EH L
93,93,AS WELL AS THE BODY,AE Z W EH L AE Z DH AH B AA D IY
94,94,BACK IN SIERRA LEONE,B AE K IH N S IY EH R AH L IY OW N
95,95,WE HAD NO MONEY,W IY HH AE D N OW M AH N IY
96,96,EIGHT FEET TALL,EY T F IY T T AO L
97,97,IT'S ON OUR CABLE PACKAGE,IH T EH S AA N AW ER K EY B AH L P AE K AH JH
98,98,EXCEPT AS A LAST RESORT,IH K S EH P T AE Z AH L AE S T R IH Z AO R T
99,99,AND MORE OPEN TO THE PARLIAMENT,AH N D M AO R OW P AH N T UW DH AH P AA R L AH M AH N T
100,100,AND THEY WERE THE FIRST PEOPLE,AH N D DH EY W ER DH AH F ER S T P IY P AH L
101,101,I THINK SHE'S COMPLETELY BONKERS,AY TH IH NG K SH IY EH S K AH M P L IY T L IY B AA NG K ER Z
102,102,YOU HAVE A PROBLEM WITH IT,Y UW HH AE V AH P R AA B L AH M W IH DH IH T
103,103,SHE WILL BE VERY PLEASED,SH IY W IH L B IY V EH R IY P L IY Z D
104,104,THEY'RE ALL ABOUT THE SAME,DH EY ' R EY AO L AH B AW T DH AH S EY M
105,105,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AH N D DH AH IH N IH SH AH L Z S T AE N D F AO R DH AH IH N T ER N AE SH AH N AH L M AA R K S AH S T G R UW P
106,106,YOU DON'T DESERVE MY GRACE,Y UW D UW EH N T AY D IH Z ER V M AY G R EY S
107,107,BUT MY GOODNESS,B AH T M AY G UH D N AH S
108,108,THE PRESIDENT'S CHAIR,DH AH P R EH Z AH D EH N T EH S CH EH R
109,109,HASN'T TIME FLOWN,HH AE Z EH N T AY T AY M F L OW N
110,110,AND IT WAS TOTALLY NORMAL,AH N D IH T W AA Z T OW T AH L IY N AO R M AH L
111,111,IT LOOKS REALLY LIKE IT IS,IH T L UH K S R IH L IY L AY K IH T IH Z
112,112,DESTROYING THE PROPERTY,D IH S T R OY IH NG DH AH P R AA P ER T IY
113,113,COURAGE UNDER FIRE,K ER AH JH AH N D ER F AY ER
114,114,MAYBE NOT URANIUM,M EY B IY N AA T Y ER EY N IY AH M
115,115,PROJECT MANAGEMENT IS REALLY MY SPECIALIST AREA,P R AA JH EH K T M AE N AH JH M AH N T IH Z R IH L IY M AY S P EH SH AH L AH S T EH R IY AH
116,116,WITH WHITE CHRISTMAS,W IH DH W AY T K R IH S M AH S
117,117,IS IN THE DRYING,IH Z IH N DH AH D R AY IH NG
118,118,ISLAM ALLOWS POLYGAMY,IH S L AA M AH L AW Z P AH L IH G AH M IY
119,119,THAT'S NOT WHAT I WAS EXPECTING AT ALL,DH AE T EH S N AA T W AH T AY W AA Z IH K S P EH K T IH NG AE T AO L
120,120,WHAT DO YOU KNOW ABOUT IT,W AH T D UW Y UW N OW AH B AW T IH T
121,121,PROVIDED BY THE RAILWAYS,P R AH V AY D AH D B AY DH AH R EY L W EY Z
122,122,AND WOULD EVENTUALLY MARRY HER AFTER HIS WIFE,AH N D W UH D IH V EH N CH AH W AH L IY M EH R IY HH ER AE F T ER HH IH Z W AY F
123,123,WE TALKED ABOUT IT,W IY T AO K T AH B AW T IH T
124,124,WHICH IS IDEAL FOR IT,W IH CH IH Z AY D IY L F AO R IH T
125,125,WHAT ELSE CAN I BE,W AH T EH L S K AE N AY B IY
126,126,WAS IT YOUR CHOICE,W AA Z IH T Y AO R CH OY S
127,127,IT'S A PLUS POINT,IH T EH S AH P L AH S P OY N T
128,128,WE HAVE ALL THE USUAL SUSPECTS,W IY HH AE V AO L DH AH Y UW ZH AH W AH L S AH S P EH K T S
129,129,WHICH IS ABSOLUTELY UNDERSTANDABLE,W IH CH IH Z AE B S AH L UW T L IY AH N D ER S T AE N D AH B AH L
130,130,WILL APPEAR IN COURT NEXT MONTH,W IH L AH P IH R IH N K AO R T N EH K S T M AH N TH
131,131,IF YOU WANT TO KNOW WHAT THE KIDS ARE LISTENING TO THESE DAYS,IH F Y UW W AA N T T UW N OW W AH T DH AH K IH D Z AA R L IH S AH N IH NG T UW DH IY Z D EY Z
132,132,THEY ARE BATTLING TO BE CROWNED PRO CHALLENGE CHAMPION,DH EY AA R B AE T AH L IH NG T UW B IY K R AW N D P R OW CH AE L AH N JH CH AE M P IY AH N
133,133,CLEARLY THEY DO,K L IH R L IY DH EY D UW
134,134,IS IT TRUE SHE WAS,IH Z IH T T R UW SH IY W AA Z
135,135,GARDENS NEVER FINISH,G AA R D AH N Z N EH V ER F IH N IH SH
136,136,FOR ME IT DOESN'T MAKE SENSE,F AO R M IY IH T D AH Z EH N T AY M EY K S EH N S
137,137,I FEEL LIKE THIS,AY F IY L L AY K DH IH S
138,138,YOU JUST HAVE TO GRAB AN OPPORTUNITY WHEN IT PRESENTS ITSELF,Y UW JH AH S T HH AE V T UW G R AE B AE N AA P ER T UW N AH T IY W EH N IH T P R EH Z AH N T S IH T S EH L F
139,139,AS SHE LAY DYING,AE Z SH IY L EY D AY IH NG
140,140,VERY HIGH LEVEL,V EH R IY HH AY L EH V AH L
141,141,DEMONSTRATES THE VALUE OF GREEN SPACE,D EH M AH N S T R EY T S DH AH V AE L Y UW AH V G R IY N S P EY S
142,142,ITS DESIGN VALUES,IH T S D IH Z AY N V AE L Y UW Z
143,143,THE SIX HIGHEST SCORING RUNNERS UP WILL QUALIFY,DH AH S IH K S HH AY AH S T S K AO R IH NG R AH N ER Z AH P W IH L K W AA L AH F AY
144,144,CHRISTMAS PUDDING THAT NOBODY REALLY LIKES,K R IH S M AH S P UH D IH NG DH AE T N OW B AA D IY R IH L IY L AY K S
145,145,AND IN THE MORNING,AH N D IH N DH AH M AO R N IH NG
146,146,BUT NOW THERE'S MORE PROTECTION,B AH T N AW DH EH R EH S M AO R P R AH T EH K SH AH N
147,147,ASKING FOR PERMISSION,AE S K IH NG F AO R P ER M IH SH AH N
148,148,IT WAS ACTUALLY EXTREMELY WELL PLACED,IH T W AA Z AE K CH AH W AH L IY IH K S T R IY M L IY W EH L P L EY S T
149,149,ONE WAS A PILOT,W AH N W AA Z AH P AY L AH T
150,150,I'M SURE YOU CAN IMAGINE,AY AH M SH UH R Y UW K AE N IH M AE JH AH N
151,151,I TEND TO USE NATURAL BRITISH STONE,AY T EH N D T UW Y UW S N AE CH ER AH L B R IH T IH SH S T OW N
152,152,BUT I FELT HE WAS EXPOSED,B AH T AY F EH L T HH IY W AA Z IH K S P OW Z D
153,153,WE HAVE TO PAY FOR THAT,W IY HH AE V T UW P EY F AO R DH AE T
154,154,HE ABSOLUTELY INSISTED ON WRITING HIS OWN INTRO,HH IY AE B S AH L UW T L IY IH N S IH S T AH D AA N R AY T IH NG HH IH Z OW N IH N T R OW
155,155,LET'S SAY FOR EXAMPLE,L EH T EH S S EY F AO R IH G Z AE M P AH L
156,156,HERSELF CURRENTLY LEARNING TO SIGN,HH ER S EH L F K ER AH N T L IY L ER N IH NG T UW S AY N
157,157,I THINK IT LOOKS GREAT,AY TH IH NG K IH T L UH K S G R EY T
158,158,WHILE I'M SURROUNDED BY WATER RIGHT NOW,W AY L AY AH M S ER AW N D AH D B AY W AO T ER R AY T N AW
159,159,HAVE YOU GOT IT,HH AE V Y UW G AA T IH T
160,160,NOT FOR SUBJECT MATTER,N AA T F AO R S AH B JH EH K T M AE T ER
161,161,FOR SOMETHING COMPLETELY DIFFERENT,F AO R S AH M TH IH NG K AH M P L IY T L IY D IH F ER AH N T
162,162,A RATHER SPECIAL,AH R AE DH ER S P EH SH AH L
163,163,SO TO DO BALLROOM,S OW T UW D UW B AO L R UW M
164,164,LEARN AS MUCH AS POSSIBLE,L ER N AE Z M AH CH AE Z P AA S AH B AH L
165,165,NOT QUITE AS HIGH,N AA T K W AY T AE Z HH AY
166,166,NOT JUST A HOTEL,N AA T JH AH S T AH HH OW T EH L
167,167,BUT EVERYONE GOING INTO THE DEN GETS A FRESH CHANCE TO TURN THINGS ROUND,B AH T EH V R IY W AH N G OW IH NG IH N T UW DH AH D EH N G EH T S AH F R EH SH CH AE N S T UW T ER N TH IH NG Z R AW N D
168,168,MR TRUMP TAKES OFFICE IN JANUARY,M IH S T ER T R AH M P T EY K S AO F AH S IH N JH AE N Y UW EH R IY
169,169,SO WHEN THE FARMERS COME,S OW W EH N DH AH F AA R M ER Z K AH M
170,170,YOU UNFOLD THE BOARD,Y UW AH N F OW L D DH AH B AO R D
171,171,TRYING TO BRING THEM DOWN OVER THE CENTURIES,T R AY IH NG T UW B R IH NG DH EH M D AW N OW V ER DH AH S EH N CH ER IY Z
172,172,TEN DAYS BEFOREHAND,T EH N D EY Z B IH F AO R HH AE N D
173,173,BECAUSE THERE WAS NO ROLE MODEL,B IH K AO Z DH EH R W AA Z N OW R OW L M AA D AH L
174,174,IF YOU'RE WATCHING,IH F Y UW ' R EY W AA CH IH NG
175,175,WE LIKE TO REMINISCE,W IY L AY K T UW R EH M AH N IH S
176,176,WHERE IS THE GAS,W EH R IH Z DH AH G AE S
177,177,IT DIDN'T SURVIVE,IH T D IH D EH N T AY S ER V AY V
178,178,SOME DECENT SCORES,S AH M D IY S AH N T S K AO R Z
179,179,BY SOME MIRACLE,B AY S AH M M IH R AH K AH L
180,180,AS YOU MAY KNOW,AE Z Y UW M EY N OW
181,181,BUT WHAT EXACTLY IS IT,B AH T W AH T IH G Z AE K T L IY IH Z IH T
182,182,WHICH THE NORWEGIAN GOVERNMENT WAS SUPPORTING,W IH CH DH AH N AO R W IY JH AH N G AH V ER M AH N T W AA Z S AH P AO R T IH NG
183,183,MORE OPEN MINDED PERHAPS,M AO R OW P AH N M AY N D AH D P ER HH AE P S
184,184,PLAYED BY JIM BROADBENT,P L EY D B AY JH IH M B R AO D B EH N T
185,185,IT'S ACTUALLY A SALSA,IH T EH S AE K CH AH W AH L IY AH S AO L S AH
186,186,IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,IH T EH S AH V EH R IY AH T R AE K T IH V G AY D P R AY S F AO R AH S AH B S T AE N CH AH L HH AW S S OW W EH L
187,187,I'M NOT MASSIVELY HAPPY,AY AH M N AA T M AE S IH V L IY HH AE P IY
188,188,HOW DO I CHOOSE THIS,HH AW D UW AY CH UW Z DH IH S
189,189,SO I THINK IT IS A PIECE OF VERY ONE DIMENSIONAL LEFT WING PROPAGANDA,S OW AY TH IH NG K IH T IH Z AH P IY S AH V V EH R IY W AH N D IH M EH N SH AH N AH L L EH F T W IH NG P R AA P AH G AE N D AH
190,190,GOES OUT THE OTHER,G OW Z AW T DH AH AH DH ER
191,191,IT MIGHT BE BONFIRE NIGHT,IH T M AY T B IY B AA N F AY ER N AY T
192,192,YOU WANT ME TO BE HAPPY,Y UW W AA N T M IY T UW B IY HH AE P IY
193,193,THE ROMANS FELT THEIR PRESENCE WAS STRONG ENOUGH HERE,DH AH R OW M AH N Z F EH L T DH EH R P R EH Z AH N S W AA Z S T R AO NG IH N AH F HH IY R
194,194,FROM SMALL SHIPS,F R AH M S M AO L SH IH P S
195,195,SOMETIMES IT DOESN'T,S AH M T AY M Z IH T D AH Z EH N T AY
196,196,FOR GOOD REASONS AND BAD REASONS,F AO R G UH D R IY Z AH N Z AH N D B AE D R IY Z AH N Z
197,197,WE DID A DIFFERENT VERSION OF THINGS AND THEN,W IY D IH D AH D IH F ER AH N T V ER ZH AH N AH V TH IH NG Z AH N D DH EH N
198,198,BUT NOW WE HAVE THESE VIRUSES,B AH T N AW W IY HH AE V DH IY Z V AY R AH S AH Z
199,199,IT'S HIGHER THAN BEFORE,IH T EH S HH AY ER DH AE N B IH F AO R
200,200,IT'S DOWN TO OUR BRAIN GETTING THINGS WRONG,IH T EH S D AW N T UW AW ER B R EY N G EH T IH NG TH IH NG Z R AO NG
201,201,WITH OTHER PEOPLE,W IH DH AH DH ER P IY P AH L
202,202,MOST OF HIS LIFE,M OW S T AH V HH IH Z L AY F
203,203,AND WE WERE RIGHT,AH N D W IY W ER R AY T
204,204,ADD ANOTHER TEN ON,AE D AH N AH DH ER T EH N AA N
205,205,PONDERING THE IMMENSITY,P AA N D ER IH NG DH AH IH M EH N S AH T IY
206,206,THEY ARE UNDER A LOT OF STRESS,DH EY AA R AH N D ER AH L AA T AH V S T R EH S
207,207,IT'S A MOVIE THEME,IH T EH S AH M UW V IY TH IY M
208,208,WELL INTO NOVEMBER,W EH L IH N T UW N OW V EH M B ER
209,209,CHOOSING A GOOD LOCATION,CH UW Z IH NG AH G UH D L OW K EY SH AH N
210,210,LOUISE AND KEVIN,L UW IY Z AH N D K EH V IH N
211,211,TO BE A SUCCESSFUL ENTREPRENEUR,T UW B IY AH S AH K S EH S F AH L AA N T R AH P R AH N ER
212,212,I JUST CAN'T SEEM TO WIN,AY JH AH S T K AH EH N T AY S IY M T UW W IH N
213,213,SET UP BY THE GOVERNMENT,S EH T AH P B AY DH AH G AH V ER M AH N T
214,214,BECAUSE IT WAS OFFICES,B IH K AO Z IH T W AA Z AO F AH S AH Z
215,215,STANDING IN FOR YOUR REGULAR HOST FOR ONE WEEK ONLY,S T AE N D IH NG IH N F AO R Y AO R R EH G Y AH L ER HH OW S T F AO R W AH N W IY K OW N L IY
216,216,WHICH UPSET SOME OF OUR FEMALE RESIDENTS,W IH CH AH P S EH T S AH M AH V AW ER F IY M EY L R EH Z IH D AH N T S
217,217,RESCUING A DAMSEL IN DISTRESS,R EH S K Y UW IH NG AH D AE M Z AH L IH N D IH S T R EH S
218,218,THROUGH THE ACCESSIBILITY TO THOSE CHILDREN,TH R UW DH AH AE K S EH S AH B IH L IH T IY T UW DH OW Z CH IH L D R AH N
219,219,WITH PEOPLE WITHOUT CREATING,W IH DH P IY P AH L W IH TH AW T K R IY EY T IH NG
220,220,WE STILL HAVE ALL OF THIS TO COME,W IY S T IH L HH AE V AO L AH V DH IH S T UW K AH M
221,221,I DO MISS IT A LITTLE BIT,AY D UW M IH S IH T AH L IH T AH L B IH T
222,222,HOW GREAT IS THIS,HH AW G R EY T IH Z DH IH S
223,223,THIS ONE IS TOTALLY OUT OF CONTROL,DH IH S W AH N IH Z T OW T AH L IY AW T AH V K AH N T R OW L
224,224,CAUSES IT NO HARM,K AA Z AH Z IH T N OW HH AA R M
225,225,STARTING WITH THE COMPOST,S T AA R T IH NG W IH DH DH AH K AA M P OW S T
226,226,IT'S A TERRIBLE IDEA,IH T EH S AH T EH R AH B AH L AY D IY AH
227,227,I DON'T REMEMBER THAT HAPPENING BEFORE,AY D UW EH N T AY R IH M EH M B ER DH AE T HH AE P AH N IH NG B IH F AO R
228,228,WHO KNEW THAT ONE MAN,HH UW N UW DH AE T W AH N M AE N
229,229,YOU DO LOVE YOUR DOLL,Y UW D UW L AH V Y AO R D AA L
230,230,THE GARDEN OF ENGLAND,DH AH G AA R D AH N AH V IH NG G L AH N D
231,231,IN TERMS OF FIRE SERVICE RESOURCES,IH N T ER M Z AH V F AY ER S ER V AH S R IY S AO R S IH Z
232,232,WHAT WAS IT THAT MADE YOU THINK,W AH T W AA Z IH T DH AE T M EY D Y UW TH IH NG K
233,233,IT'S THE INTERNET,IH T EH S DH AH IH N T ER N EH T
234,234,WHAT SEASON WAS THAT,W AH T S IY Z AH N W AA Z DH AE T
235,235,IF IT WAS GOING TO BE INCREASED,IH F IH T W AA Z G OW IH NG T UW B IY IH N K R IY S T
236,236,YOU HAVE TO HOLD YOUR NERVE,Y UW HH AE V T UW HH OW L D Y AO R N ER V
237,237,YOU CAN'T REALLY SAY,Y UW K AH EH N T AY R IH L IY S EY
238,238,AND I'M WARNING YOU,AH N D AY AH M W AO R N IH NG Y UW
239,239,I DON'T WANT TO RESIGN,AY D UW EH N T AY W AA N T T UW R IH Z AY N
240,240,BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,B IH K AO Z DH AH HH OW L P OY N T AH V N AY N IH L EH V AH N IH Z DH AE T IH T EH S DH AH JH AH S T AH F AH K EY SH AH N F AO R DH AH P AH L IY S S T EY T
241,241,IS IT ALL GOOD NEWS,IH Z IH T AO L G UH D N UW Z
242,242,BEFORE YOU KNOW IT,B IH F AO R Y UW N OW IH T
243,243,THAT FIRST MEETING,DH AE T F ER S T M IY T IH NG
244,244,WOULD NOT BE A HAPPY PLACE,W UH D N AA T B IY AH HH AE P IY P L EY S
245,245,EVERYWHERE YOU GO AROUND HERE,EH V R IY W EH R Y UW G OW ER AW N D HH IY R
246,246,YOU'VE REALLY MADE MY DAY,Y UW ' V IY R IH L IY M EY D M AY D EY
247,247,OR MORE CORRECTLY COUNCILS,AO R M AO R K ER EH K T L IY K AW N S AH L Z
248,248,SERBIA IS PANDEMONIUM LET LOOSE,S ER B IY AH IH Z P AE N D IH M OW N IY AH M L EH T L UW S
249,249,WE HAVE TO LOOK AT HOW SAUDI ARABIA,W IY HH AE V T UW L UH K AE T HH AW S AO D IY ER EY B IY AH
250,250,IN THE FORM OF A DESSERT PLATE,IH N DH AH F AO R M AH V AH D IH Z ER T P L EY T
251,251,AND HERE ON TOP OF THE EAGLE TOWER,AH N D HH IY R AA N T AA P AH V DH AH IY G AH L T AW ER
252,252,THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,DH AH G AE R IH S AH N T R AY D T UW S ER EH N D ER B IH F AO R HH IY K UH D T R AY AW T HH IH Z N UW T OY
