target,phonemes_clean,phonemes_substitute_5pct,phonemes_substitute_10pct,phonemes_substitute_20pct,phonemes_delete_5pct,phonemes_delete_10pct,phonemes_delete_20pct,phonemes_insert_5pct,phonemes_insert_10pct,phonemes_insert_20pct
THE GARRISON RESPONDED WITH A HAIL OF ARROWS,DH AH G AE R IH S AH N R IH S P AA N D IH D W IH DH AH HH EY L AH V AE R OW Z,DH AH G AE R IH V AH N R IH S P AA N D IH D W IH DH AH P EY L AH V AE R OW Z,DH AH G AE R IH S AH N R EY S P DH N D IH D W IH DH AH IY EY L AH V AE R OW Z,DH AH G AE R OW S G N R IH S P AA N D IH IY W IH SH AH HH W L AH V AE R K Z,DH AH G AE R IH S AH N R IH S P AA N D IH W IH DH AH HH EY L AH V AE OW Z,AH G AE R IH S AH N R IH S P AA N D D W DH AH HH EY L AH V AE R OW Z,DH AH R IH S AH N R IH AA N D IH D W IH DH AH HH EY L AH AE R OW,DH AH G AE R IH OY S AH N R IH S P AA N D IH D W IH DH AH UW HH EY L AH V AE R OW Z,DH AH G AE R IH S AH N R EY IH S P D AA N D IH D W IH DH AH IH HH EY L AH V AE R OW Z,DH AH G AE R K IH S F AH N R IH S P AA N D IH V D W IH IH DH AH HH NG EY L AH V AE R S OW Z
WHICH MELTS MORE ICE,W IH CH M EH L T S M AO R AY S,W IH CH S EH L T S M AO R AY S,W IH CH M EH L T S M AO R AY L,K IH CH OY EH L T S M AO R AY AE,W CH M EH L T S M AO R AY S,W IH CH M EH L T S AO R AY S,IH CH M L T S M R AY S,W IH CH R M EH L T S M AO R AY S,W IH CH M EH L T S M AO R AY L S,OW W IH CH K M EH L T S M AO R AY AE S
I THINK SOMETHING DRASTIC NEEDS TO BE DONE,AY TH IH NG K S AH M TH IH NG D R AE S T IH K N IY D Z T UW B IY D AH N,AY TH IH NG K S AH M TH IH NG D R AE S T IH K IH IY D Z T UW B IY D AH N,AY TH N AY K S AH M TH IH NG D M AE S T IH K N IY D Z T UW B IY D AH N,AY TH TH NG K S OY M EY IH HH D R AE S T IH K SH IY D Z D UW B IY D AH N,AY TH IH NG K S AH M TH IH NG D R AE S T IH K IY D Z T UW B IY D AH N,AY TH IH NG K S M TH IH NG D R AE S T IH K N IY Z UW B IY D AH N,AY TH K S AH M TH IH NG D AE T IH N IY D Z T B IY D AH N,AY TH IH NG K S AH M TH IH NG D R AE S T IH K IH N IY D Z T UW B IY D AH N,AY TH M IH M NG K S AH M TH IH NG D AY R AE S T IH K N IY D Z T UW B IY D AH N,AY TH HH IH NG K S D AH M S TH IH OW NG D R AE S T IH K T N IY D Z EY T UW B IY D AH N
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HH IY R T UW G IH V AH S AH R AH N D AW N AH V DH AH G R EY T AH S T F EY SH AH L K AO R IY AA G R AH F IY EH V ER S IY N AA N DH AH B AA K S,M IY R T UW G IH V AH S AH R AH N D AW N AH V DH AH G R EY T AH S T F EY SH AH L K AO R IY AA G R AH F IY EH V ER S IY N AA N EH AH B AA R S,HH IY AW T UW G IH V AH S AH R AH N D AW B AH V DH AH G R EY T AH S T F JH SH AH L K AO R IY AA V R AH F IY EH V ER W IY N AA N OW AH B AA K S,HH IY R T UW G IH V NG S AH R AH N D G AW AH V DH AH G R EY T R S D F EY SH AH L K TH UH IY CH G R AH F IY EH V ER S CH N EH N DH AH B AO K S,HH T UW G IH V AH S AH R AH N D AW N AH V DH AH G R EY T AH S F EY SH AH L K AO R IY AA G R AH F IY EH V ER S IY N AA N DH AH B AA K S,HH IY R T UW G IH V AH S AH R AH N AW N AH V DH AH G R EY T AH T EY SH AH L K R IY G R AH F IY EH ER S IY N AA N DH AH B AA K S,HH IY T G IH V AH S AH R N D AW N AH DH AH G R T AH S T F EY SH AH L K AO AA G F IY EH V S IY N AA N DH AH AA K S,L HH IY R T UW G IH V AH S AH R AH N D AW N AH V DH AH G R EY T AH S T F EY SH AH L K AO R IY AA G R AH F IY EH V ER S IY N AA N P DH AH B AA DH K S,HH IY IY R T UW G IH V AH S AH R AH N D AW V N AH V DH AH G R EY T AH S T F AW EY SH AH L K AO R IY AA NG G R AH F IY EH V ER B S IY N AA N UW DH AH B AA K S,HH IY R T UW G IH V P AH S AH R AH N D DH AW D N AH V DH AH G R EY T B AH S AH T F EY SH AH L K AW AO T R IY TH AA G R AH F IY EH V ER S CH IY N F AA N DH AH B N AA K S
THERE WAS A GLIMMER OF HOPE,DH EH R W AA Z AH G L IH M ER AH V HH OW P,DH EH R W AA Z AH G D IH M ER AH V HH OW P,DH EH R W AA Z AE G L IH M AO AH V HH OW P,DH EH ZH W AA Z UW G L IH M ER SH V HH OW P,DH EH W AA Z AH G L IH M ER AH V HH OW P,EH R W AA Z AH G IH M ER AH V HH OW P,DH R W AA Z AH L M ER AH V HH OW P,DH EH R W AA Z AH G D L IH M ER AH V HH OW P,DH EH R W AA Z AE AH G L IH M AO ER AH V HH OW P,DH EH UH R W AA Z S AH G L IH M ER Z AH V HH OW P
I CAN PLANT THEM IN THAT SPOT,AY K AE N P L AE N T DH EH M IH N DH AE T S P AA T,AY K AE N P L M N T DH EH M IH N DH AE T S P AA T,AY K AE N P L AE AW T G EH M IH N DH AE T S P AA T,M K AE B P L AE N V DH EH M IH N DH AE T IH P AA T,AY K AE N P L N T DH EH M IH N DH AE T S P AA T,AY K AE N P AE N T DH EH M IH DH AE T S P AA T,AY K AE P L AE DH EH M N DH AE T S P AA T,AY K AE N P L L AE N T DH EH M IH N DH AE T S P AA T,AY K AE N P L AE F N T AW DH EH M IH N DH AE T S P AA T,B AY K AE L N P L AE N IH T DH EH M IH N DH AE T UW S P AA T
GRAHAM BARON ASH,G R EY AH M B AE R AH N AE SH,G AW EY AH M B AE R AH N AE SH,G NG EY AH M B AE R AH N AE SH,G R EY AH DH B SH R AH N AE SH,G R EY M B AE R AH N AE SH,G R EY AH M AE R AH N AE SH,G R EY AH M B AE AH N SH,G AW R EY AH M B AE R AH N AE SH,G NG R EY AH M B AE R AH N AE SH,G R EY AH S M B DH AE R AH N AE SH
TEARING IT TO THE GROUND,T EH R IH NG IH T T UW DH AH G R AW N D,T EH R IH NG IH T T UW DH AH G AY AW N D,T EH R IH NG IH T DH N DH AH G R AW N D,HH EH R IH NG IH T T UW DH AH UH R AW EH D,EH R IH NG IH T T UW DH AH G R AW N D,T EH IH NG IH T T DH AH G R AW N D,T EH IH NG T T UW DH AH R AW N D,T EH R IH NG IH T T UW DH AH G AY R AW N D,T EH R IH NG IH T DH T N UW DH AH G R AW N D,EH T EH R IH NG IH T T UW DH AH TH G R AW HH N D
EVEN BEFORE SHE ENTERED THE WATER,IY V IH N B IH F AO R SH IY EH N T ER D DH AH W AO T ER,IY V IH N B IH F AO R SH IY N N T ER D DH AH W AO T ER,IY V IH N B IH AO AO R SH IY IY N T ER D DH AH W AO T ER,IY V IH ZH B IH F AO R D IY EH N T ER D UH AH W AO ER ER,IY V IH N B IH F AO R SH IY EH N T ER D DH W AO T ER,IY V IH N B IH AO R SH EH N T ER D DH AH W AO T ER,IY V IH N B IH AO SH IY N T ER D DH AH W AO T,IY V IH N B IH F AO R SH IY M EH N T ER D DH AH W AO T ER,IY V IH N B IH AO F AO R SH IY IH EH N T ER D DH AH W AO T ER,IY V IH D N B IH F AO R ER SH IY EH N T ER D Z DH AH W AO TH T ER
THE SHEER SIZE AND POWER CAN BE INTIMIDATING,DH AH SH IH R S AY Z AH N D P AW ER K AE N B IY IH N T IH M IH D EY T IH NG,DH AH SH IH R S AY Z SH N D P AW ER K AE N B IY AE N T IH M IH D EY T IH NG,DH AH SH IH R DH AY Z AH N D P AW ER K AE N B IY V G T IH M IH D EY T IH NG,DH AH SH IH R K AY Z AH N D ' AW ER K AE B TH IY IH N T IH M ZH D EY T AA NG,DH AH SH IH R S Z AH N D P AW ER K AE N B IY IH N T M IH D EY T IH NG,DH AH R S AY Z AH N D P ER K AE N B IY IH N T IH M IH D EY T IH NG,DH AH IH R S AY Z AH N D P AW ER K AE N B IY M IH D EY IH NG,DH AH SH IH R S AY Z S AH N D P AW ER K AE N B IY AE IH N T IH M IH D EY T IH NG,DH AH SH IH R DH S AY Z AH N D P AW ER K AE N B IY G IH UW N T IH M IH D EY T IH NG,DH AH SH IH R B S AY Z AH N D AA P AW ER K AE T N K B IY IH N T IH M Z IH D EY T ' IH NG
WHICH A LOT OF THEM WERE,W IH CH AH L AA T AH V DH EH M W ER,W IH CH AH L AA T AH B DH EH M W ER,W IH CH AH L AA T OW V DH EH M W ER,W IH CH AH G HH T AH V DH EH M AH ER,W IH CH AH L AA T AH V DH M W ER,W CH AH L AA T AH V DH EH M W ER,W IH AH L AA T AH DH EH W ER,W IH CH AH L AA T AH B V DH EH M W ER,W IH CH AH L AA T NG AH V DH EH M W ER,W IH CH AH G L AH AA T AH V DH EH M G W ER
THAT'S THE BEST KIND OF TEACHING,DH AE T EH S DH AH B EH S T K AY N D AH V T IY CH IH NG,DH AE T EH S DH AH B EH S T K AW N D AH V T IY CH IH NG,DH AE T EH S DH AH B W S T K AY N D AH V T IY CH F NG,DH AE CH EH S DH AH B EH S T K AY N D T V W CH CH IH NG,DH AE T EH S DH AH B EH S T K AY N D AH V IY CH IH NG,DH AE T EH S DH AH B EH S T AY N D AH V T IY IH NG,DH AE T EH S AH EH S T K N AH V T IY CH IH NG,DH AE T EH S DH AH B EH S T K AW AY N D AH V T IY CH IH NG,DH AE T EH S DH AH B F EH S T K AY N D AH V T IY CH V IH NG,DH AE V T EH S DH AH B EH S T K AY N D SH AH V CH T CH IY CH IH NG
I JUST COLLAPSED,AY JH AH S T K AH L AE P S T,AY JH AH S T K AH L JH P S T,AY JH AH S T K AH L AE P K T,AY JH UW S ZH K AH L AE P S T,AY JH AH S T K L AE P S T,AY JH AH S K AH L AE P S T,AY JH AH S K AH L AE P T,AY JH AH S T K AH L IY AE P S T,AY JH AH S T K AH L AE P K S T,AY JH Z AH S UH T K AH L AE P S T
AND WHEN YOU'RE MOVING THROUGH ENEMY TERRITORY,AH N D W EH N Y UW ' R EY M UW V IH NG TH R UW EH N AH M IY T EH R IH T AO R IY,AH N D W EH N Y UW ' R EY M AE V IH NG TH R UW EH N AH M AO T EH R IH T AO R IY,AH N IY K EH N Y UW ' R EY M UW V OY NG TH R UW EH N AH M IY T EH R IH T AO R IY,AH N D W EH N OW UW ' R EY M UW V IH NG TH N UW EH N AH M UW R EH R ER T AO JH IY,AH N D W EH N Y UW ' R EY M UW V NG TH R UW EH N AH M IY T EH R IH AO R IY,AH N W EH N Y ' R EY M UW V IH NG TH R UW EH N AH M IY T EH R IH T R IY,AH N D W EH N Y UW ' R M UW V NG TH R UW EH N M IY EH T AO R IY,AH N D W EH N Y UW ' R EY M AE UW V IH NG TH R UW EH N AH M AO IY T EH R IH T AO R IY,AH N IH D OW W EH N Y UW ' R EY M UW V K IH NG TH R UW EH N AH M IY T EH R IH T AO R IY,AH N D W EH N UH Y UW ' R EY M UW V IH NG TH R R UW EH N AH M N IY OW T EH R JH IH T AO ER R IY
ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,EH N IY M AE N W UH D B IY P R AW D T UW HH AE V Y UW AE Z AH S AH N,EH N IY M AE N W UH D B IY P R AW D T UW HH AE V Y F AE Z AH S AH N,EH N L M AE N EY UH D B IY P R AW D T UW HH TH V Y UW AE Z AH S AH N,EH N Z Z AE N W W D B F P R AW AA T UW HH AE V Y UW AE Z AH F AH N,EH N IY M AE N W UH D B IY P R AW D T UW HH V Y UW AE Z AH S AH N,EH N M AE N W UH D B IY P AW D T UW AE V Y UW AE Z AH S AH N,EH IY M AE N W B P AW D T UW HH AE V Y UW AE Z AH S AH,EH N IY M AE N W UH D B IY P R AW D T UW HH AE V Y F UW AE Z AH S AH N,EH N T IY M AE N EY W UH D B IY P R AW D T UW HH K AE V Y UW AE Z AH S AH N,EH N F IY Y M AE N W F UH D B V IY P R AW Y D T UW HH AE V Y UW AE Z AH AA S AH N
USUALLY A BICYCLE,Y UW ZH AH W AH L IY AH B AY S IH K AH L,Y UW ZH AH W AH L IY AH AW AY S IH K AH L,Y UW ZH AH W AH L IY AH B AY S SH K DH L,AH F ZH AH W AH L IY AH B AY AO IH K AH L,Y UW ZH AH W AH L IY B AY S IH K AH L,Y UW ZH AH W AH L IY AH AY S IH AH L,Y UW W AH L IY AH AY S IH K AH L,Y UW ZH AH W AH L IY AH AW B AY S IH K AH L,Y UW ZH AH W AH L IY AH B AY S D IH K S AH L,AO Y F UW ZH AH W AH L IY AH B AY AH S IH K AH L
HERE ON THE DAY,HH IY R AA N DH AH D EY,HH IY R B N DH AH D EY,HH IY R AA CH DH AH D EY,AO IY R AA N UH AH D EY,IY R AA N DH AH D EY,HH IY R AA N AH D EY,HH IY R N AH D EY,HH IY R AY AA N DH AH D EY,HH IY R AA CH N DH AH D EY,TH HH IY R AA N AO DH AH D EY
AND I GUESS THAT'S WHAT'S HAPPENING HERE,AH N D AY G EH S DH AE T EH S W AH T EH S HH AE P AH N IH NG HH IY R,AH N D AY G EH S DH AE T EH S IH AH T EH S HH AE P AH N IH NG HH IY R,AH N D AY G EH S V AE T EH S W AH T EH S Z AE P AH N IH HH HH IY R,AH N D AY G EH T V D T EH S W AH T Y S HH AE P AH Y IH NG HH IY R,AH N D AY G EH S DH AE T EH S W AH T EH S HH AE P AH N IH NG IY R,AH N D AY G EH DH AE T EH S W AH T EH S HH P AH N NG HH IY R,AH N D AY EH S DH AE T EH S AH S HH AE P N IH NG HH IY R,AH N D AY G EH S DH AE T EH S IH W AH T EH S HH AE P AH N IH NG HH IY R,AH N D AY G EH S Y DH AE T EH S W AH T EH S HH HH AE P AH N IH UW NG HH IY R,AH N D AY G EH SH S W DH W AE T EH S W AH T CH EH S HH AE P AH UW N IH NG HH IY R
IT BECOMES A FIRE ENGINE,IH T B IH K AH M Z AH F AY ER EH N JH AH N,IH T B IH K AH M Z AH F AY ER EH N NG AH N,IH T B IH K AH M Z AH F AY ER G NG JH AH N,IH T B IH K AH M OY AH F AY ER AY N JH EY N,IH T B IH K M Z AH F AY ER EH N JH AH N,IH IH K AH M Z AH F AY ER EH N JH AH N,IH T B AH M Z F AY ER EH N JH AH N,IH T B IH K AH M Z AH F AY ER EH N N JH AH N,IH T B IH K AH M Z AH F AY ER F EH N N JH AH N,IH T B IH K AH M AY Z AH F AY ER ER EH N JH OY AH N
BUT IT'S A DECENT SIZE,B AH T IH T EH S AH D IY S AH N T S AY Z,B AH T IH T NG S AH D IY S AH N T S AY Z,B AH T IH AW EH S AH D IY S AH N T S AH Z,B AH T R T SH S AH D IY S AH N OY S AY Z,B AH T IH T EH S AH D IY S AH N S AY Z,B AH T IH T EH S D S AH N T S AY Z,B AH T IH T EH S AH IY S AH N AY Z,B AH T IH T N EH S AH D IY S AH N T S AY Z,B AH T IH AH T EH S AH D IY S AH N T S AW AY Z,B AH T S IH T OY EH S AH D IY S AH N P T S AY Z
FOLLOWING THOSE WORDS,F AA L OW IH NG DH OW Z W ER D Z,F AA L OW IH EY DH OW Z W ER D Z,F DH L OW IH NG DH OW Z W ER D Z,AH AA L OW IH NG DH OW Z W OY AY Z,F AA L OW IH DH OW Z W ER D Z,F L OW IH NG DH OW Z W ER D Z,F AA L OW IH OW Z ER D Z,F AA L OW IH EY NG DH OW Z W ER D Z,F D AA L OW IH NG DH OW Z W ER D Z,OW F AA L OW IH NG DH OW Z W AH ER AY D Z
FOUR LITTLE TURTLES NAMED AFTER ITALIAN RENAISSANCE ARTISTS,F AO R L IH T AH L T ER T AH L Z N EY M D AE F T ER IH T AE L Y AH N R EH N AH S AA N S AA R T AH S T S,F AO R L IH T AH L T ER T AH L Z N EY M ZH AE F T ER IH T AE L Y AH N R EH N AH S AA N S AA R T AH S AO S,F AO R L IH T AH L T ER AO AH L Z N EY M D AE F T ER IH T AE L Y OW N R EH N AH S AA N S AA R T ZH S T NG,F AO R L IH T IY L AY ER T AH G Z N SH M D AE F T EH IH T AE L Y AO W R EH N AH S S N S AA R T AW S T S,F AO R L IH T AH L T T AH L Z N EY M AE F T ER IH T AE L Y AH N R EH N AH S AA N S AA R T AH S T S,F AO R L IH T L T ER T AH L Z EY M AE F T ER IH T L Y AH N R EH N AH S AA N S AA R T AH S T S,F AO R IH AH AH L Z EY M D AE F T ER IH T AE L Y AH N R EH S AA N S AA R T AH S T S,F AO R L IH T AH L T ER T AH L Z N EY M Z D AE F T ER IH T AE L Y AH N R EH N AH S AA N S AA R T AH S AO T S,F AO R L IH T AH L T ER NG T AH L Z N EY M D AE F T ER IH T AE L Y NG AH N R EH N AH S AA N S AA R T AO AH S T Z S,F AO R L IH T AH AH L AY T ER T AH V L Z N R EY M D AE F T AO ER IH T AE L Y G AH S N R EH N AH S IH AA N S AA R T EH AH S T S
WHICH IS INCREDIBLE,W IH CH IH Z IH N K R EH D AH B AH L,W IH CH IH Z IH N K R EH EH AH B AH L,W IH CH IH Z IH N HH R UW D AH B AH L,DH IH CH IH Z IH N K G EH AW AH B AH L,W IH CH Z IH N K R EH D AH B AH L,W IH CH IH Z IH N R EH AH B AH L,W IH CH IH Z IH K R EH AH AH L,W IH CH IH Z IH N K R EH DH D AH B AH L,W IH CH IH Z IH N HH K R UH EH D AH B AH L,DH W IH CH IH Z IH N K G R EH AW D AH B AH L
I'M JUST HOPEFUL,AY AH M JH AH S T HH OW P F AH L,AY AH M JH AH S T HH G P F AH L,AY AH M JH AH S T HH ' P F AH L,AY AH M JH AH S EY OY OW P F AO L,AY AH M JH AH S T HH OW P F AH,AY AH M JH AH T HH OW P F AH L,AY M JH AH S HH OW F AH L,AY AH M JH AH S T HH G OW P F AH L,AY AH M JH AH S T HH ' OW P F AH L,AY AH M JH AH S AH T OW HH OW P F EY AH L
THE FIRST AND SECOND FLOOR FLATS,DH AH F ER S T AH N D S EH K AH N D F L AO R F L AE T S,DH AH F ER S S AH N D S EH K AH N D F L AO R F L AE T S,DH AH F ER S T AH N D S EH K AH N D F L AO R F L CH T V,W AH F ER S IY AH N TH S EH K R N DH F L AO R F L AE T S,DH AH F ER S T AH N D S K AH N D F L AO R F L AE T S,DH AH F ER S AH N D S EH AH N D F L AO R F L AE T S,DH AH F ER S T AH N S EH K N F AO R L AE T S,DH AH F ER S S T AH N D S EH K AH N D F L AO R F L AE T S,DH AH F ER S T AH N D S EH K AH N D F L AO R F L UW AE T B S,D DH AH F ER S T T AH N V D S EH K P AH N IY D F L AO R F L AE T S
LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,L AY K HH AH N D R AH D Z AH V TH AW Z AH N D Z AH V P IY P AH L D UW EH V ER IY Y IH R,L AY K HH AH N D R AH D Z AH V TH AW Z AH F D Z AH V P IY W AH L D UW EH V ER IY Y IH R,L AY K HH AH N D SH AH D Z AH V TH AW Z AH R ' Z AH DH P IY P AH L D UW EH V ER IY Y IH R,L AY K T AH N D R AH D DH AH AH Z AW Z AH N AH Z AH V P UW P AH L D UW EH V ER UH Y IH R,L AY K HH AH R AH D Z AH V TH AW Z AH N D Z AH V P IY P AH L D UW EH V ER IY Y IH R,L AY K HH N D R AH D Z AH V AW Z AH D Z AH V IY P AH L D UW EH V ER IY Y IH R,AY K AH N D AH Z AH V TH AW Z AH D Z AH P IY P AH L D UW EH V ER IY Y IH,L AY K HH AH N D R AH D Z AH V TH AW Z AH F N D Z AH V P IY V P AH L D UW EH V ER IY Y IH R,L AY K HH AH N D ' R AH D Z AH V TH AW Z AH S N DH D Z AH P V P IY P AH L D UW EH V ER IY Y IH R,L AY K DH HH AH N D R AH D UH Z AH TH V SH TH AW Z AH N Y D Z AH V P AH IY P AH L D UW EH V ER AH IY Y IH R
I WILL ALWAYS NEED YOU,AY W IH L AO L W EY Z N IY D Y UW,AY W IH L AO L W EY Z N L D Y UW,AY W IH L AO L W EY Z N IY IH Y UW,ER ZH IH L AO L W EY AO N IY D Y UW,AY W IH L AO L EY Z N IY D Y UW,AY W IH L AO L W EY Z IY D Y UW,AY W L AO L Z N IY D Y UW,AY W IH L AO L W EY Z N K IY D Y UW,AY W IH L AO L W EY Z N IY HH D Y UW,Z AY AO W IH L AO L W EY EH Z N IY D Y UW
ENJOY THE SUMMER,EH N JH OY DH AH S AH M ER,G N JH OY DH AH S AH M ER,EH N JH OY DH AH S AH EH ER,EH OY JH B DH AH S AH M ER,EH JH OY DH AH S AH M ER,EH N OY DH AH S AH M ER,N JH OY AH S AH M ER,F EH N JH OY DH AH S AH M ER,EH N JH OY DH AH S AH EH M ER,EH B N JH OW OY DH AH S AH M ER
IF YOU'VE GOT A GOOD STORY,IH F Y UW ' V IY G AA T AH G UH D S T AO R IY,IH L Y UW ' V IY G AA T AH G UH D S T AO R IY,IH F Y TH ' V IY G AA T AH G UH D S T K R IY,IH Y UH UW ' V IY Z AA T AH G UH D S T AO R P,IH F Y UW ' V IY G AA T AH UH D S T AO R IY,IH F Y UW ' V IY AA T AH G UH D S T AO IY,IH F Y ' IY G AA T AH G UH D S T R,IH K F Y UW ' V IY G AA T AH G UH D S T AO R IY,IH F Y TH UW ' V IY G AA T AH G UH D S T JH AO R IY,IH UH F W Y UW ' V IY Y G AA T AH G UH D S T AO R OY IY
